symbol,source_address,rows,columns,data_org,signed,unit,factor,offset,encoded_size,exact_target_hits,unique_target_address,exact_corsa_hits,unique_corsa_address,corsa_changed_fraction
KeFEQR_t_EngRunEnblMaxAPC,0x05BE44,1,1,eHiLo,0,s,0.00625,0,2,0,,0,,
KtFEQR_K_LimFactForMaxAPC,0x05BE46,9,9,eByte,0,,0.0078125,0,81,200,,200,,
KeFEQR_n_PE_EngSpdLoHys,0x05BE98,1,1,eHiLo,0,rpm,0.125,0,2,0,,0,,
KeFEQR_n_PE_EngSpdThrsh,0x05BE9A,1,1,eHiLo,0,rpm,0.125,0,2,0,,0,,
KeFEQR_Pct_PE_ThrotLoHys,0x05BE9C,1,1,eHiLo,0,%,0.001525878906,0,2,0,,0,,
KeFEQR_Pct_PE_LoadLoHys,0x05BE9E,1,1,eHiLo,0,%,0.001525878906,0,2,0,,0,,
KfFEQR_T_PE_DelayCoolLoThrsh,0x05BEA0,1,1,eHiLo,1,deg C,0.0078125,0,2,0,,0,,
KfFEQR_T_PE_DelayCoolHiThrsh,0x05BEA2,1,1,eHiLo,1,deg C,0.0078125,0,2,0,,0,,
KfFEQR_n_PE_DelayRPM_HiThrsh,0x05BEA4,1,1,eHiLo,0,rpm,0.125,0,2,0,,0,,
KfFEQR_Pct_PE_DeltThrotRise,0x05BEA6,1,1,eHiLo,0,%,0.001525878906,0,2,0,,0,,
KfFEQR_v_PE_DeltThrotVehSpdHi,0x05BEA8,1,1,eHiLo,0,kph,0.0078125,0,2,0,,0,,
KfFEQR_eqr_PE_RampIn,0x05BEAA,1,1,eHiLo,0,ratio,0.000030517578,0,2,0,,0,,
KfFEQR_eqr_PE_RampOut,0x05BEAC,1,1,eHiLo,0,ratio,0.000030517578,0,2,0,,0,,
KwFEQR_t_PE_DelayMax,0x05BEAE,1,1,eHiLo,0,s,0.05,0,2,0,,0,,
KtFEQR_Pct_PE_LoadThrsh,0x05BEB2,1,17,eHiLo,0,%,0.001525878906,0,34,200,,200,,
KtFEQR_Pct_PE_ThrotThrshEngSpd,0x05BED6,1,17,eHiLo,0,%,0.001525878906,0,34,0,,0,,
KtFEQR_t_PE_DelayAdjust,0x05BEFC,17,17,eHiLo,0,s,0.05,0,578,1,0x0620F8,1,0x05C080,0.500
KtFEQR_eqr_PE_RPM,0x05C142,5,33,eHiLo,0,ratio,0.0009765625,0,330,0,,0,,
KtFEQR_eqr_PE_RPM_E80,0x05C290,5,33,eHiLo,0,ratio,0.0009765625,0,330,200,,17,,
KeFEQR_Pct_PE_DelayLoadThrsh,0x05C3DC,1,1,eFloatHiLo,1,,1,0,4,200,,200,,
KtFEQR_K_EquivRatioBlendFactor,0x05C800,1,5,eHiLo,0,,0.000030517578,0,10,0,,0,,
